title;start;CES_parameters;optimization;slurmConfig;regionmapping;extramappings_historic;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;c_budgetCO2from2020;carbonprice;cm_co2_tax_spread;cm_co2_tax_startyear;cm_peakBudgYr;cm_taxCO2inc_after_peakBudgYr;cm_co2_tax_hist;cm_year_co2_tax_hist;cm_CO2priceRegConvEndYr;cm_emiscen;cm_VRE_supply_assumptions;c_regi_earlyreti_rate;c_tech_earlyreti_rate;cm_fetaxscen;cm_co2_tax_growth;cm_bioenergy_SustTax;cm_maxProdBiolc;cm_33DAC;cm_33EW;cm_33OAE;cm_33_OAE_eff;cm_33_OAE_scen;cm_frac_NetNegEmi;c_ccsinjecratescen;c_ccscapratescen;cm_subsec_model_steel;cm_CESMkup_build;cm_CESMkup_ind;cm_CESMkup_ind_data;cm_wasteIncinerationCCSshare;techpol;regipol;cm_implicitQttyTarget;cm_emiMktTarget;cm_NucRegiPol;cm_CoalRegiPol;cm_altFeEmiFac;cm_POPscen;cm_GDPscen;cm_demScen;cm_fxIndUe;cm_fxIndUeReg;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;cm_nucscen;cm_so2tax_scen;cm_multigasscen;cm_LU_emi_scen;cm_tradecostBio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;cm_EDGEtr_scen;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_refpolicycost;description
SMIPv03-ML-SSP2-NPiexpo1_from_ELEVATE;1;;;;;;rcp45;3;;0;NPiexpo;;1;2100;3;;;;9;0;GLO 0.09, EUR_regi 0.15;;3;1.01;1.5;100;1;0;0;;;0.5;1;;;standard;standard;;;NPi2018;regiCarbonPrice;;;off;off;off;pop_SSP2;gdp_SSP2;gdp_SSP2;;;medOil;medGas;medCoal;1;;1;3;SSP2;1;0;;SSP2;Mix3;2035;;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;
SMIPv03-ML-SSP2-NPiexpo2_from_ELEVATE;1;;;;;;rcp45;3;;0;NPiexpo;;1;2100;3;;;;9;0;GLO 0.09, EUR_regi 0.15;;3;1.02;1.5;100;1;0;0;;;0.5;1;;;standard;standard;;;NPi2018;regiCarbonPrice;;;off;off;off;pop_SSP2;gdp_SSP2;gdp_SSP2;;;medOil;medGas;medCoal;1;;1;3;SSP2;1;0;;SSP2;Mix3;2035;SMIPv03-ML-SSP2-NPiexpo1_from_ELEVATE;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;
SMIPv03-ML-SSP2-NPiexpo3_from_ELEVATE;1;;;;;;rcp45;3;;0;NPiexpo;;1;2100;3;;;;9;0;GLO 0.09, EUR_regi 0.15;;3;1.03;1.5;100;1;0;0;;;0.5;1;;;standard;standard;;;NPi2018;regiCarbonPrice;;;off;off;off;pop_SSP2;gdp_SSP2;gdp_SSP2;;;medOil;medGas;medCoal;1;;1;3;SSP2;1;0;;SSP2;Mix3;2035;SMIPv03-ML-SSP2-NPiexpo2_from_ELEVATE;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;
SMIPv03-ML-SSP2-NPiexpo4_from_ELEVATE;1;;;;;;rcp45;3;;0;NPiexpo;;1;2100;3;;;;9;0;GLO 0.09, EUR_regi 0.15;;3;1.04;1.5;100;1;0;0;;;0.5;1;;;standard;standard;;;NPi2018;regiCarbonPrice;;;off;off;off;pop_SSP2;gdp_SSP2;gdp_SSP2;;;medOil;medGas;medCoal;1;;1;3;SSP2;1;0;;SSP2;Mix3;2035;SMIPv03-ML-SSP2-NPiexpo3_from_ELEVATE;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;
SMIPv03-ML-SSP2-NPiexpo5_from_ELEVATE;1;;;;;;rcp45;3;;0;NPiexpo;;1;2100;3;;;;9;0;GLO 0.09, EUR_regi 0.15;;3;1.05;1.5;100;1;0;0;;;0.5;1;;;standard;standard;;;NPi2018;regiCarbonPrice;;;off;off;off;pop_SSP2;gdp_SSP2;gdp_SSP2;;;medOil;medGas;medCoal;1;;1;3;SSP2;1;0;;SSP2;Mix3;2035;SMIPv03-ML-SSP2-NPiexpo4_from_ELEVATE;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;
SMIPv03-ML-SSP2-NPiexpo1_from_SMIP_M;1;;;;;;rcp45;3;;0;NPiexpo;;1;2100;3;;;;9;0;GLO 0.09, EUR_regi 0.15;;3;1.01;1.5;off;1;1;0;;;0.5;1;;;standard;standard;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi, NEU_regi;pop_SSP2;gdp_SSP2;gdp_SSP2;;;medOil;medGas;medCoal;1;;1;3;SSP2;1;0;;SSP2;Mix3;2035;;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;
SMIPv03-ML-SSP2-NPiexpo2_from_SMIP_M;1;;;;;;rcp45;3;;0;NPiexpo;;1;2100;3;;;;9;0;GLO 0.09, EUR_regi 0.15;;3;1.02;1.5;off;1;1;0;;;0.5;1;;;standard;standard;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi, NEU_regi;pop_SSP2;gdp_SSP2;gdp_SSP2;;;medOil;medGas;medCoal;1;;1;3;SSP2;1;0;;SSP2;Mix3;2035;SMIPv03-ML-SSP2-NPiexpo1_from_SMIP_M;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;
SMIPv03-ML-SSP2-NPiexpo3_from_SMIP_M;1;;;;;;rcp45;3;;0;NPiexpo;;1;2100;3;;;;9;0;GLO 0.09, EUR_regi 0.15;;3;1.03;1.5;off;1;1;0;;;0.5;1;;;standard;standard;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi, NEU_regi;pop_SSP2;gdp_SSP2;gdp_SSP2;;;medOil;medGas;medCoal;1;;1;3;SSP2;1;0;;SSP2;Mix3;2035;SMIPv03-ML-SSP2-NPiexpo2_from_SMIP_M;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;
SMIPv03-ML-SSP2-NPiexpo4_from_SMIP_M;1;;;;;;rcp45;3;;0;NPiexpo;;1;2100;3;;;;9;0;GLO 0.09, EUR_regi 0.15;;3;1.04;1.5;off;1;1;0;;;0.5;1;;;standard;standard;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi, NEU_regi;pop_SSP2;gdp_SSP2;gdp_SSP2;;;medOil;medGas;medCoal;1;;1;3;SSP2;1;0;;SSP2;Mix3;2035;SMIPv03-ML-SSP2-NPiexpo3_from_SMIP_M;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;
SMIPv03-ML-SSP2-NPiexpo5_from_SMIP_M;1;;;;;;rcp45;3;;0;NPiexpo;;1;2100;3;;;;9;0;GLO 0.09, EUR_regi 0.15;;3;1.05;1.5;off;1;1;0;;;0.5;1;;;standard;standard;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi, NEU_regi;pop_SSP2;gdp_SSP2;gdp_SSP2;;;medOil;medGas;medCoal;1;;1;3;SSP2;1;0;;SSP2;Mix3;2035;SMIPv03-ML-SSP2-NPiexpo4_from_SMIP_M;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;;./output/C_SMIPv03-M-SSP2-NPi-def-rem-14/fulldata.gdx;
