title;start;oldrun;path_report;qos;magpie_scen;no_ghgprices_land_until;var_luc;path_gdx;path_gdx_bau;path_gdx_ref
SDP_MC-NPi;0;;;;SDP-MC|NPI|nocc_hist;y2150;raw;;;
SDP_MC-PkBudg650;0;;;;SDP-MC|NDC|nocc_hist;y2030;raw;;;
SSP1-NDC;0;;;;SSP1|NDC|nocc_hist;y2150;raw;;;
SSP1-NPi;0;;;;SSP1|NPI|nocc_hist;y2150;raw;;;
SSP1-PkBudg1050;0;;;;SSP1|NDC|nocc_hist;y2030;raw;;;
SSP1-PkBudg650;0;;;;SSP1|NDC|nocc_hist;y2030;raw;;;
SSP2-Base;0;;;;SSP2|NPI|nocc_hist;y2150;raw;;;
SSP2-NDC;0;;;;SSP2|NDC|nocc_hist;y2150;raw;;;
SSP2-NPi;0;;;;SSP2|NPI|nocc_hist;y2150;raw;;;
SSP2-PkBudg1050;0;;;;SSP2|NDC|nocc_hist;y2030;raw;;;
SSP2-PkBudg650;0;;;;SSP2|NDC|nocc_hist;y2030;raw;;;
SSP5-NDC;0;;;;SSP5|NDC|nocc_hist;y2150;raw;;;
SSP5-NPi;0;;;;SSP5|NPI|nocc_hist;y2150;raw;;;
SSP5-PkBudg1050;0;;;;SSP5|NDC|nocc_hist;y2030;raw;;;
SSP5-PkBudg650;0;;;;SSP5|NDC|nocc_hist;y2030;raw;;;
