title;start;oldrun;path_report;qos;magpie_scen;no_ghgprices_land_until;var_luc;path_gdx;path_gdx_bau;path_gdx_ref
SMIPv03-ML-SSP2-PkPrice25-fromM;0;;;;SSP2|NPI|nocc_hist;y2150;raw;;;
SMIPv03-ML-SSP2-PkPrice53-fromM;0;;;;SSP2|NPI|nocc_hist;y2150;raw;;;
SMIPv03-ML-SSP2-PkPrice81-fromM;0;;;;SSP2|NPI|nocc_hist;y2150;raw;;;
SMIPv03-ML-SSP2-PkPrice109-fromM;0;;;;SSP2|NPI|nocc_hist;y2150;raw;;;
SMIPv03-ML-SSP2-PkPrice137-fromM;0;;;;SSP2|NPI|nocc_hist;y2150;raw;;;
SMIPv03-ML-SSP2-PkPrice165-fromM;0;;;;SSP2|NPI|nocc_hist;y2150;raw;;;
SMIPv03-ML-SSP2-PkPrice193-fromM;1;;;;SSP2|NPI|nocc_hist;y2150;raw;;;
SMIPv03-ML-SSP2-PkPrice200-fromM;1;;;;SSP2|NPI|nocc_hist;y2150;raw;;;
SMIPv03-ML-SSP2-PkPrice250-fromM;1;;;;SSP2|NPI|nocc_hist;y2150;raw;;;
SMIPv03-ML-SSP2-PkBudg1000-fromL;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-PkBudg1100-fromL;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-PkBudg1200-fromL;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-PkBudg1300-fromL;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-PkBudg1400-fromL;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-PkBudg1500-fromL;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-PkBudg1600-fromL;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-PkBudg1700-fromL;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-PkPrice445-fromL;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-PkPrice375-fromL;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-PkPrice305-fromL;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-PkPrice235-fromL;1;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-PkPrice200-fromL;1;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-PkPrice165-fromL;1;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
SMIPv03-ML-SSP2-PkPrice95-fromL;0;;;;SSP2|NDC|nocc_hist;y2035;raw;;;
